MARKET_ID;MONTH;FORECAST;DEMAND
1;1;1000;1092
1;2;1000;1095
1;3;1100;1073
1;4;1100;1018
1;5;1100;1081
1;6;1000;1074
1;7;1000;1193
1;8;1000;1112
1;9;1000;1207
1;10;1000;1088
1;11;1100;1080
1;12;1100;1087
1;13;1100;1141
1;14;1000;1018
1;15;1000;1049
1;16;1100;1137
1;17;1000;1120
1;18;1000;1047
1;19;1000;1137
1;20;1000;1057
1;21;1000;1089
1;22;1000;1098
1;23;1000;1135
1;24;1000;1079
2;1;500;509
2;2;600;551
2;3;700;722
2;4;800;906
2;5;900;874
2;6;1000;939
2;7;1100;1193
2;8;1200;1293
2;9;1300;1156
2;10;1400;1457
2;11;1500;1640
2;12;1600;1627
2;13;1700;2108
2;14;1800;1684
2;15;1900;2130
2;16;2000;1979
2;17;2100;1833
2;18;2200;1524
2;19;2300;2536
2;20;2400;2374
2;21;2500;1679
2;22;2600;1710
2;23;2700;2250
2;24;2800;3169
3;1;0;0
3;2;0;3
3;3;20;20
3;4;60;59
3;5;220;234
3;6;270;262
3;7;350;368
3;8;600;612
3;9;780;722
3;10;320;322
3;11;120;115
3;12;0;4
3;13;0;3
3;14;0;0
3;15;50;49
3;16;90;87
3;17;250;253
3;18;300;300
3;19;380;355
3;20;630;640
3;21;810;834
3;22;350;340
3;23;150;141
3;24;0;0
